"name","feature_type","description","score"
"EPDR1","Gene","ependymin related 1 [Source:HGNC Symbol;Acc:HGNC:17572]  EPENDYMIN-RELATED PROTEIN 1; EPDR1 [*619734] (MIM gene record; description: EPENDYMIN-RELATED PROTEIN 1; EPDR1;;UPREGULATED IN COLORECTAL CANCER 1; UCC1;;MERP1,) is an external reference matched to Gene ENSG00000086289","1.0985345"
"MSH2","Gene","mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]  LYNCH SYNDROME I [#120435] (MIM morbid record; description: LYNCH SYNDROME I;;COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 1; HNPCC1;;COLON CANCER, FAMILIAL NONPOLYPOSIS, TYPE 1; FCC1;;COCA1 LYNCH SYNDROME II, INCLUDED,) is an external reference matched to Gene ENSG00000095002","1.0985345"
"JAG1","Gene","jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000101384","1.0985345"
"MET","Gene","MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]  HEPATOCELLULAR CARCINOMA [#114550] (MIM morbid record; description: HEPATOCELLULAR CARCINOMA;;HCC;;CANCER, HEPATOCELLULAR;;LIVER CANCER;;LIVER CELL CARCINOMA; LCC;;HEPATOMA HEPATOBLASTOMA, INCLUDED;;HEPATOBLASTOMA CAUSED BY SOMATIC MUTATION, INCLUDED,) is an external reference matched to Gene ENSG00000105976","1.0985345"
"CCND1","Gene","cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]  COLORECTAL CANCER; CRC [#114500] (MIM morbid record; description: COLORECTAL CANCER; CRC;;COLON CANCER,) is an external reference matched to Gene ENSG00000110092","1.0985345"
"CBL","Gene","Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]  R-HSA-1236382 (Reactome gene record; description: Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,) is an external reference matched to Gene ENSG00000110395","1.0985345"
"MYCL","Gene","MYCL proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7555]  MYCL PROTOONCOGENE, bHLH TRANSCRIPTION FACTOR; MYCL [*164850] (MIM gene record; description: MYCL PROTOONCOGENE, bHLH TRANSCRIPTION FACTOR; MYCL;;V-MYC AVIAN MYELOCYTOMATOSIS VIRAL ONCOGENE HOMOLOG, LUNG CARCINOMA-DERIVED;;V-MYC AVIAN MYELOCYTOMATOSIS VIRAL ONCOGENE HOMOLOG 1, LUNG CARCINOMA-DERIVED; MYCL1;;AVIAN MYELOCYTOMATOSIS VIRAL ONCO /.../OMOLOG 1, LUNG CARCINOMA-DERIVED;;ONCOGENE LMYC;;MYC-RELATED GENE FROM LUNG CANCER,) is an external reference matched to Gene ENSG00000116990","1.0985345"
"ECRG4","Gene","ECRG4 augurin precursor [Source:HGNC Symbol;Acc:HGNC:24642]  ECRG4 AUGURIN PRECURSOR; ECRG4 [*611752] (MIM gene record; description: ECRG4 AUGURIN PRECURSOR; ECRG4;;CHROMOSOME 2 OPEN READING FRAME 40; C2ORF40;;ESOPHAGEAL CANCER-RELATED GENE 4,) is an external reference matched to Gene ENSG00000119147","1.0985345"
"ERCC6","Gene","ERCC excision repair 6, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:3438]  LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED [#211980] (MIM morbid record; description: LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED;;ADENOCARCINOMA OF LUNG, INCLUDED;;NONSMALL CELL LUNG CANCER, INCLUDED;;LUNG CANCER, PROTECTION AGAINST, INCLUDED,) is an external reference matched to Gene ENSG00000225830","1.0985345"
"TBC1D3B","Gene","TBC1 domain family member 3B [Source:HGNC Symbol;Acc:HGNC:27011]  TBC1 DOMAIN FAMILY, MEMBER 3B; TBC1D3B [*610144] (MIM gene record; description: TBC1 DOMAIN FAMILY, MEMBER 3B; TBC1D3B;;PROSTATE CANCER GENE 17; PRC17,) is an external reference matched to Gene ENSG00000274808","1.0985345"
"SPINK7","Gene","serine peptidase inhibitor Kazal type 7 [Source:HGNC Symbol;Acc:HGNC:24643]  SERINE PEPTIDASE INHIBITOR, KAZAL-TYPE, 7; SPINK7 [*617288] (MIM gene record; description: SERINE PEPTIDASE INHIBITOR, KAZAL-TYPE, 7; SPINK7;;ESOPHAGUS CANCER-RELATED GENE 2; ECRG2,) is an external reference matched to Gene ENSG00000145879","1.0985345"
"CENPW","Gene","centromere protein W [Source:HGNC Symbol;Acc:HGNC:21488]  CENTROMERIC PROTEIN W; CENPW [*611264] (MIM gene record; description: CENTROMERIC PROTEIN W; CENPW;;CHROMOSOME 6 OPEN READING FRAME 173; C6ORF173;;CANCER-UPREGULATED GENE 2; CUG2,) is an external reference matched to Gene ENSG00000203760","1.0985345"
"FGF7","Gene","fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000140285","1.0985122"
"ZFHX3","Gene","zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:777]  PROSTATE CANCER [#176807] (MIM morbid record; description: PROSTATE CANCER,) is an external reference matched to Gene ENSG00000140836","1.0985122"
"EML4","Gene","EMAP like 4 [Source:HGNC Symbol;Acc:HGNC:1316]  R-HSA-9700206 (Reactome gene record; description: Signaling by ALK in cancer,) is an external reference matched to Gene ENSG00000143924","1.0985122"
"PIK3R1","Gene","phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000145675","1.0985122"
"PIK3AP1","Gene","phosphoinositide-3-kinase adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30034]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000155629","1.0985122"
"KIF5B","Gene","kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]  R-HSA-9700206 (Reactome gene record; description: Signaling by ALK in cancer,) is an external reference matched to Gene ENSG00000170759","1.0985122"
"CD28","Gene","CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000178562","1.0985122"
"FOXO4","Gene","forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000184481","1.0985122"
"IRS2","Gene","insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000185950","1.0985122"
"FGF3","Gene","fibroblast growth factor 3 [Source:HGNC Symbol;Acc:HGNC:3681]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000186895","1.0985122"
"FGF16","Gene","fibroblast growth factor 16 [Source:HGNC Symbol;Acc:HGNC:3672]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000196468","1.0985122"
"FGF22","Gene","fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000070388","1.0985122"
"ZC3HC1","Gene","zinc finger C3HC-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29913]  R-HSA-9700206 (Reactome gene record; description: Signaling by ALK in cancer,) is an external reference matched to Gene ENSG00000091732","1.0985122"
"CASC3","Gene","CASC3 exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:17040]  CANCER SUSCEPTIBILITY CANDIDATE 3; CASC3 [*606504] (MIM gene record; description: CANCER SUSCEPTIBILITY CANDIDATE 3; CASC3;;MLN51 GENE; MLN51;;BARENTSZ, DROSOPHILA, HOMOLOG OF,) is an external reference matched to Gene ENSG00000108349","1.0985122"
"FGF6","Gene","fibroblast growth factor 6 [Source:HGNC Symbol;Acc:HGNC:3684]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000111241","1.0985122"
"MSH3","Gene","mutS homolog 3 [Source:HGNC Symbol;Acc:HGNC:7326]  ENDOMETRIAL CANCER [#608089] (MIM morbid record; description: ENDOMETRIAL CANCER,) is an external reference matched to Gene ENSG00000113318","1.0985122"
"CD86","Gene","CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000114013","1.0985122"
"AKT1S1","Gene","AKT1 substrate 1 [Source:HGNC Symbol;Acc:HGNC:28426]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000204673","1.0985122"
"RB1","Gene","RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]  BLADDER CANCER [#109800] (MIM morbid record; description: BLADDER CANCER,) is an external reference matched to Gene ENSG00000139687","1.0984898"
"SHC1","Gene","SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]  R-HSA-9700206 (Reactome gene record; description: Signaling by ALK in cancer,) is an external reference matched to Gene ENSG00000160691","1.0984898"
"PLCG1","Gene","phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]  R-HSA-9700206 (Reactome gene record; description: Signaling by ALK in cancer,) is an external reference matched to Gene ENSG00000124181","1.0984898"
"EP300","Gene","E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]  COLORECTAL CANCER; CRC [#114500] (MIM morbid record; description: COLORECTAL CANCER; CRC;;COLON CANCER,) is an external reference matched to Gene ENSG00000100393","1.0984898"
"MSH6","Gene","mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]  ENDOMETRIAL CANCER [#608089] (MIM morbid record; description: ENDOMETRIAL CANCER,) is an external reference matched to Gene ENSG00000116062","1.0984898"
"PTPRF","Gene","protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]","1.0984685"
"PRLR","Gene","prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]  MULTIPLE FIBROADENOMAS OF THE BREAST; MFAB [#615554] (MIM morbid record; description: MULTIPLE FIBROADENOMAS OF THE BREAST; MFAB,) is an external reference matched to Gene ENSG00000113494","1.0984685"
"PTK6","Gene","protein tyrosine kinase 6 [Source:HGNC Symbol;Acc:HGNC:9617]  PROTEIN-TYROSINE KINASE 6; PTK6 [*602004] (MIM gene record; description: PROTEIN-TYROSINE KINASE 6; PTK6;;BREAST TUMOR KINASE; BRK;;PROTEIN-TYROSINE KINASE BRK,) is an external reference matched to Gene ENSG00000101213","1.098447"
"UGT1A1","Gene","UDP glucuronosyltransferase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:12530]  HYPERBILIRUBINEMIA, TRANSIENT FAMILIAL NEONATAL; HBLRTFN [#237900] (MIM morbid record; description: HYPERBILIRUBINEMIA, TRANSIENT FAMILIAL NEONATAL; HBLRTFN;;LUCEY-DRISCOLL SYNDROME  BREAST MILK JAUNDICE, INCLUDED,) is an external reference matched to Gene ENSG00000241635","1.098447"
"CTNNB1","Gene","catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]  COLORECTAL CANCER; CRC [#114500] (MIM morbid record; description: COLORECTAL CANCER; CRC;;COLON CANCER,) is an external reference matched to Gene ENSG00000168036","1.098421"
"PPP2R1B","Gene","protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]  LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED [#211980] (MIM morbid record; description: LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED;;ADENOCARCINOMA OF LUNG, INCLUDED;;NONSMALL CELL LUNG CANCER, INCLUDED;;LUNG CANCER, PROTECTION AGAINST, INCLUDED,) is an external reference matched to Gene ENSG00000137713","1.098301"
"PTEN","Gene","phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]  PROSTATE CANCER [#176807] (MIM morbid record; description: PROSTATE CANCER,) is an external reference matched to Gene ENSG00000171862","1.098301"
"FBXW7","Gene","F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000109670","1.098301"
"SOS1","Gene","SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]  R-HSA-1227990 (Reactome gene record; description: Signaling by ERBB2 in Cancer,) is an external reference matched to Gene ENSG00000115904","1.098301"
"HEY1","Gene","hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000164683","1.0982382"
"FRS2","Gene","fibroblast growth factor receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:16971]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000166225","1.0982382"
"HDAC3","Gene","histone deacetylase 3 [Source:HGNC Symbol;Acc:HGNC:4854]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000171720","1.0982382"
"ATR","Gene","ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]  CUTANEOUS TELANGIECTASIA AND CANCER SYNDROME, FAMILIAL; FCTCS [#614564] (MIM morbid record; description: CUTANEOUS TELANGIECTASIA AND CANCER SYNDROME, FAMILIAL; FCTCS;;TELANGIECTASIA, CUTANEOUS, AND CANCER SYNDROME, FAMILIAL,) is an external reference matched to Gene ENSG00000175054","1.0982382"
"POLE","Gene","DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]  COLORECTAL CANCER, SUSCEPTIBILITY TO, 12; CRCS12 [#615083] (MIM morbid record; description: COLORECTAL CANCER, SUSCEPTIBILITY TO, 12; CRCS12;;COLORECTAL CANCER, SUSCEPTIBILITY TO, ON CHROMOSOME 12q24,) is an external reference matched to Gene ENSG00000177084","1.0982382"
"ERBB4","Gene","erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000178568","1.0982382"
"NRG3","Gene","neuregulin 3 [Source:HGNC Symbol;Acc:HGNC:7999]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000185737","1.0982382"
"WWOX","Gene","WW domain containing oxidoreductase [Source:HGNC Symbol;Acc:HGNC:12799]  ESOPHAGEAL CANCER ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SUSCEPTIBILITY TO, INCLUDED [#133239] (MIM morbid record; description: ESOPHAGEAL CANCER ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SUSCEPTIBILITY TO, INCLUDED;;ESCC, SUSCEPTIBILITY TO, INCLUDED;;AERODIGESTIVE TRACT CANCER, SUSCEPTIBILITY TO, INCLUDED;;GASTRIC CARDIA ADENOCARCINOMA, SUSCEPTIBILITY TO, INCLUDED,) is an external reference matched to Gene ENSG00000186153","1.0982382"
"CDKN1A","Gene","cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000124762","1.0982382"
"POLD1","Gene","DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]  COLORECTAL CANCER, SUSCEPTIBILITY TO, 10; CRCS10 [#612591] (MIM morbid record; description: COLORECTAL CANCER, SUSCEPTIBILITY TO, 10; CRCS10;;COLORECTAL CANCER, SUSCEPTIBILITY TO, ON CHROMOSOME 19q,) is an external reference matched to Gene ENSG00000062822","1.0982382"
"FKBP1A","Gene","FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711]  R-HSA-3304351 (Reactome gene record; description: Signaling by TGF-beta Receptor Complex in Cancer,) is an external reference matched to Gene ENSG00000088832","1.0982382"
"TBL1X","Gene","transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000101849","1.0982382"
"AXIN1","Gene","axin 1 [Source:HGNC Symbol;Acc:HGNC:903]  HEPATOCELLULAR CARCINOMA [#114550] (MIM morbid record; description: HEPATOCELLULAR CARCINOMA;;HCC;;CANCER, HEPATOCELLULAR;;LIVER CANCER;;LIVER CELL CARCINOMA; LCC;;HEPATOMA HEPATOBLASTOMA, INCLUDED;;HEPATOBLASTOMA CAUSED BY SOMATIC MUTATION, INCLUDED,) is an external reference matched to Gene ENSG00000103126","1.0982382"
"KAT2A","Gene","lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000108773","1.0982382"
"HDAC5","Gene","histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000108840","1.0982382"
"CDKN1B","Gene","cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000111276","1.0982382"
"CCNC","Gene","cyclin C [Source:HGNC Symbol;Acc:HGNC:1581]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000112237","1.0982382"
"KAT2B","Gene","lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000114166","1.0982382"
"HES1","Gene","hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000114315","1.0982382"
"NOTCH1","Gene","notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000148400","1.098219"
"CASP9","Gene","caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000132906","1.0981996"
"RPS6","Gene","ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]  R-HSA-9700206 (Reactome gene record; description: Signaling by ALK in cancer,) is an external reference matched to Gene ENSG00000137154","1.0981996"
"FGF5","Gene","fibroblast growth factor 5 [Source:HGNC Symbol;Acc:HGNC:3683]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000138675","1.0981996"
"FGF17","Gene","fibroblast growth factor 17 [Source:HGNC Symbol;Acc:HGNC:3673]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000158815","1.0981996"
"FGF18","Gene","fibroblast growth factor 18 [Source:HGNC Symbol;Acc:HGNC:3674]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000156427","1.0981996"
"RICTOR","Gene","RPTOR independent companion of MTOR complex 2 [Source:HGNC Symbol;Acc:HGNC:28611]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000164327","1.0981996"
"ALK","Gene","ALK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:427]  R-HSA-9700206 (Reactome gene record; description: Signaling by ALK in cancer,) is an external reference matched to Gene ENSG00000171094","1.0981996"
"CEBPB","Gene","CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]  R-HSA-9700206 (Reactome gene record; description: Signaling by ALK in cancer,) is an external reference matched to Gene ENSG00000172216","1.0981996"
"PDGFA","Gene","platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000197461","1.0981996"
"RPS6KB2","Gene","ribosomal protein S6 kinase B2 [Source:HGNC Symbol;Acc:HGNC:10437]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000175634","1.0981996"
"PRR5","Gene","proline rich 5 [Source:HGNC Symbol;Acc:HGNC:31682]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000186654","1.0981996"
"RAC2","Gene","Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000128340","1.0981996"
"PALLD","Gene","palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]  PANCREATIC CANCER, SUSCEPTIBILITY TO, 1 [#606856] (MIM morbid record; description: PANCREATIC CANCER, SUSCEPTIBILITY TO, 1;;PNCA1,) is an external reference matched to Gene ENSG00000129116","1.0981996"
"BAD","Gene","BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000002330","1.0981996"
"GAB2","Gene","GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000033327","1.0981996"
"FGF20","Gene","fibroblast growth factor 20 [Source:HGNC Symbol;Acc:HGNC:3677]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000078579","1.0981996"
"KITLG","Gene","KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000049130","1.0981996"
"FLT3LG","Gene","fms related receptor tyrosine kinase 3 ligand [Source:HGNC Symbol;Acc:HGNC:3766]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000090554","1.0981996"
"SASH1","Gene","SAM and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19182]  CANCER, ALOPECIA, PIGMENT DYSCRASIA, ONYCHODYSTROPHY, AND KERATODERMA; CAPOK [#618373] (MIM morbid record; description: CANCER, ALOPECIA, PIGMENT DYSCRASIA, ONYCHODYSTROPHY, AND KERATODERMA; CAPOK;;CAPOK SYNDROME,) is an external reference matched to Gene ENSG00000111961","1.0981996"
"PIK3R3","Gene","phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000117461","1.0981996"
"DNAI7","Gene","dynein axonemal intermediate chain 7 [Source:HGNC Symbol;Acc:HGNC:29599]  CANCER SUSCEPTIBILITY CANDIDATE 1; CASC1 [*616906] (MIM gene record; description: CANCER SUSCEPTIBILITY CANDIDATE 1; CASC1;;LUNG ADENOMA SUSCEPTIBILITY GENE 1; LAS1;;PROTEIN PHOSPHATASE 1, REGULATORY SUBUNIT 54; PPP1R54,) is an external reference matched to Gene ENSG00000118307","1.0981996"
"FOXO3","Gene","forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000118689","1.0981996"
"FGF23","Gene","fibroblast growth factor 23 [Source:HGNC Symbol;Acc:HGNC:3680]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000118972","1.0981996"
"FOXO1","Gene","forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000150907","1.0981996"
"RPL13","Gene","ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303]  RIBOSOMAL PROTEIN L13; RPL13 [*113703] (MIM gene record; description: RIBOSOMAL PROTEIN L13; RPL13;;BREAST BASIC CONSERVED GENE 1; BBC1;;D16S444E,) is an external reference matched to Gene ENSG00000167526","1.0981437"
"KREMEN2","Gene","kringle containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:18797]  R-HSA-4791275 (Reactome gene record; description: Signaling by WNT in cancer,) is an external reference matched to Gene ENSG00000131650","1.0980923"
"GPAT3","Gene","glycerol-3-phosphate acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28157]  1-@ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 9; AGPAT9 [*610958] (MIM gene record; description: 1-@ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 9; AGPAT9;;GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE 3; GPAT3;;GPAT, ENDOPLASMIC RETICULUM-ASSOCIATED;;LUNG CANCER METASTASIS-ASSOCIATED GENE 1; MAG1;;LYSOPHOSPHATIDIC ACID ACYLTRANSFERASE, THETA;;LPAAT-THETA,) is an external reference matched to Gene ENSG00000138678","1.0980923"
"PLAC8","Gene","placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]  X2BQ60.52 (UniProtKB/TrEMBL record; description: Down-regulated in gastrointestinal cancer protein; Placenta-specific 8, isoform CRA_a,) is an external reference matched to Translation ENSP00000309509","1.0980923"
"COX6B2","Gene","cytochrome c oxidase subunit 6B2 [Source:HGNC Symbol;Acc:HGNC:24380]  CYTOCHROME C OXIDASE, SUBUNIT 6B2; COX6B2 [*618127] (MIM gene record; description: CYTOCHROME C OXIDASE, SUBUNIT 6B2; COX6B2;;CYTOCHROME C OXIDASE, SUBUNIT VIb, POLYPEPTIDE 2;;CYTOCHROME C OXIDASE, SUBUNIT VIb, TESTIS-SPECIFIC;;CANCER/TESTIS ANTIGEN 59; CT59,) is an external reference matched to Gene ENSG00000160471","1.0980923"
"FZD5","Gene","frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]  R-HSA-4791275 (Reactome gene record; description: Signaling by WNT in cancer,) is an external reference matched to Gene ENSG00000163251","1.0980923"
"CIP2A","Gene","cellular inhibitor of PP2A [Source:HGNC Symbol;Acc:HGNC:29302]","1.0980923"
